image,label
./Data/All\Fake\000001.jpg,Fake
./Data/All\Fake\000002.jpg,Fake
./Data/All\Fake\000003.jpg,Fake
./Data/All\Fake\000004.jpg,Fake
./Data/All\Fake\000005.jpg,Fake
./Data/All\Fake\000006.jpg,Fake
./Data/All\Fake\000007.jpg,Fake
./Data/All\Fake\000008.jpg,Fake
./Data/All\Fake\000009.jpg,Fake
./Data/All\Fake\000010.jpg,Fake
./Data/All\Fake\000011.jpg,Fake
./Data/All\Fake\000012.jpg,Fake
./Data/All\Fake\000013.jpg,Fake
./Data/All\Fake\000014.jpg,Fake
./Data/All\Fake\000015.jpg,Fake
./Data/All\Fake\000016.jpg,Fake
./Data/All\Fake\000017.jpg,Fake
./Data/All\Fake\000018.jpg,Fake
./Data/All\Fake\000019.jpg,Fake
./Data/All\Fake\000020.jpg,Fake
./Data/All\Fake\000021.jpg,Fake
./Data/All\Fake\000022.jpg,Fake
./Data/All\Fake\000023.jpg,Fake
./Data/All\Fake\000024.jpg,Fake
./Data/All\Fake\000025.jpg,Fake
./Data/All\Fake\000026.jpg,Fake
./Data/All\Fake\000027.jpg,Fake
./Data/All\Fake\000028.jpg,Fake
./Data/All\Fake\000029.jpg,Fake
./Data/All\Fake\000030.jpg,Fake
./Data/All\Fake\000031.jpg,Fake
./Data/All\Fake\000032.jpg,Fake
./Data/All\Fake\000033.jpg,Fake
./Data/All\Fake\000034.jpg,Fake
./Data/All\Fake\000035.jpg,Fake
./Data/All\Fake\000036.jpg,Fake
./Data/All\Fake\000037.jpg,Fake
./Data/All\Fake\000038.jpg,Fake
./Data/All\Fake\000039.jpg,Fake
./Data/All\Fake\000040.jpg,Fake
./Data/All\Fake\000041.jpg,Fake
./Data/All\Fake\000042.jpg,Fake
./Data/All\Fake\000043.jpg,Fake
./Data/All\Fake\000044.jpg,Fake
./Data/All\Fake\000045.jpg,Fake
./Data/All\Fake\000046.jpg,Fake
./Data/All\Fake\000047.jpg,Fake
./Data/All\Fake\000048.jpg,Fake
./Data/All\Fake\000049.jpg,Fake
./Data/All\Fake\000050.jpg,Fake
./Data/All\Fake\000051.jpg,Fake
./Data/All\Fake\000052.jpg,Fake
./Data/All\Fake\000053.jpg,Fake
./Data/All\Fake\000054.jpg,Fake
./Data/All\Fake\000055.jpg,Fake
./Data/All\Fake\000056.jpg,Fake
./Data/All\Fake\000057.jpg,Fake
./Data/All\Fake\000058.jpg,Fake
./Data/All\Fake\000059.jpg,Fake
./Data/All\Fake\000060.jpg,Fake
./Data/All\Fake\000061.jpg,Fake
./Data/All\Fake\000062.jpg,Fake
./Data/All\Fake\000063.jpg,Fake
./Data/All\Fake\000064.jpg,Fake
./Data/All\Fake\000065.jpg,Fake
./Data/All\Fake\000066.jpg,Fake
./Data/All\Fake\000067.jpg,Fake
./Data/All\Fake\000068.jpg,Fake
./Data/All\Fake\000069.jpg,Fake
./Data/All\Fake\000070.jpg,Fake
./Data/All\Fake\000071.jpg,Fake
./Data/All\Fake\000072.jpg,Fake
./Data/All\Fake\000073.jpg,Fake
./Data/All\Fake\000074.jpg,Fake
./Data/All\Fake\000075.jpg,Fake
./Data/All\Fake\000076.jpg,Fake
./Data/All\Fake\000077.jpg,Fake
./Data/All\Fake\000078.jpg,Fake
./Data/All\Fake\000079.jpg,Fake
./Data/All\Fake\000080.jpg,Fake
./Data/All\Fake\000081.jpg,Fake
./Data/All\Fake\000082.jpg,Fake
./Data/All\Fake\000083.jpg,Fake
./Data/All\Fake\000084.jpg,Fake
./Data/All\Fake\000085.jpg,Fake
./Data/All\Fake\000086.jpg,Fake
./Data/All\Fake\000087.jpg,Fake
./Data/All\Fake\000088.jpg,Fake
./Data/All\Fake\000089.jpg,Fake
./Data/All\Fake\000090.jpg,Fake
./Data/All\Fake\000091.jpg,Fake
./Data/All\Fake\000092.jpg,Fake
./Data/All\Fake\000093.jpg,Fake
./Data/All\Fake\000094.jpg,Fake
./Data/All\Fake\000095.jpg,Fake
./Data/All\Fake\000096.jpg,Fake
./Data/All\Fake\000097.jpg,Fake
./Data/All\Fake\000098.jpg,Fake
./Data/All\Fake\000099.jpg,Fake
./Data/All\Fake\000100.jpg,Fake
./Data/All\Fake\000101.jpg,Fake
./Data/All\Fake\000102.jpg,Fake
./Data/All\Fake\000103.jpg,Fake
./Data/All\Fake\000104.jpg,Fake
./Data/All\Fake\000105.jpg,Fake
./Data/All\Fake\000106.jpg,Fake
./Data/All\Fake\000107.jpg,Fake
./Data/All\Fake\000108.jpg,Fake
./Data/All\Fake\000109.jpg,Fake
./Data/All\Fake\000110.jpg,Fake
./Data/All\Fake\000111.jpg,Fake
./Data/All\Fake\000112.jpg,Fake
./Data/All\Fake\000113.jpg,Fake
./Data/All\Fake\000114.jpg,Fake
./Data/All\Fake\000115.jpg,Fake
./Data/All\Fake\000116.jpg,Fake
./Data/All\Fake\000117.jpg,Fake
./Data/All\Fake\000118.jpg,Fake
./Data/All\Fake\000119.jpg,Fake
./Data/All\Fake\000120.jpg,Fake
./Data/All\Fake\000121.jpg,Fake
